id,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,neighbourhood_group_n,neighbourhood_n,room_type_n
23686,500,4,46,2,243,1,11,1
24143,101,3,335,1,152,0,12,0
24285,220,30,88,1,9,0,16,1
25235,125,90,162,2,137,0,6,1
25406,80,30,29,1,222,0,12,1
25696,100,2,170,1,346,1,2,0
26012,200,30,19,1,208,0,34,1
26362,59,2,334,2,279,1,7,0
26520,125,2,19,6,250,0,3,0
26559,140,7,12,1,164,1,19,1
26785,120,30,467,2,192,0,10,1
26933,350,2,7,4,298,1,19,1
26954,199,5,38,1,260,1,26,1
26969,325,3,324,1,107,0,12,1
27006,235,6,27,1,199,1,8,1
27385,225,1,115,4,299,1,19,1
27531,99,2,354,3,20,0,10,0
27644,170,2,195,1,318,1,2,1
27659,400,2,16,2,216,0,10,1
27759,170,7,13,1,224,1,8,1
27883,100,4,25,1,0,1,19,1
28321,75,2,9,1,324,0,24,0
28396,90,1,9,1,245,0,12,0
28907,150,5,21,1,189,1,28,1
29012,85,15,36,1,307,1,30,0
29013,70,3,63,2,310,0,6,0
29455,120,3,155,3,213,1,2,1
29628,89,3,260,1,278,0,3,0
29683,185,5,73,1,209,1,19,1
30031,50,3,193,1,0,0,20,0
30927,105,3,32,1,16,1,23,1
31130,130,2,50,3,234,1,7,0
31555,115,29,26,1,12,1,11,1
31902,77,2,2,1,178,0,35,0
31994,76,2,426,3,275,0,3,0
32023,125,3,227,2,163,0,6,1
32037,135,4,84,3,365,0,3,0
32100,250,29,3,1,34,0,20,1
32289,199,3,10,1,280,0,12,1
32331,140,2,4,1,0,0,36,1
32363,140,2,1,1,1,2,37,0
32965,115,3,124,2,170,0,6,1
32969,160,3,11,1,188,0,12,1
33009,195,4,240,1,214,0,12,1
33014,195,3,30,1,248,1,19,1
33223,80,3,200,4,262,0,12,0
34760,44,8,27,5,280,0,13,0
35526,156,4,79,1,307,1,11,0
36121,85,15,9,1,339,0,29,0
36133,125,3,155,1,1,0,12,0
36442,115,15,4,1,269,0,29,1
36647,69,2,34,1,10,1,4,0
36703,225,45,134,1,312,1,11,1
36934,125,6,27,1,189,0,12,1
38638,219,4,126,2,290,1,28,1
38663,475,3,23,1,230,0,38,1
39267,99,1,234,2,164,1,28,1
39282,69,4,202,2,53,0,12,0
39593,79,30,28,1,126,2,39,0
39704,135,2,309,2,3,0,6,1
40039,250,3,14,1,189,0,40,0
40453,250,3,4,1,365,1,28,1
41348,250,2,80,1,0,0,34,1
41513,80,3,2,1,0,1,2,1
42580,70,2,294,3,336,0,3,0
42729,165,2,150,3,342,0,33,1
42882,70,2,166,1,312,3,41,0
43957,50,2,47,1,37,0,21,0
44096,40,1,219,3,353,4,42,0
44161,150,2,193,1,177,0,12,1
44212,125,1,84,4,310,1,19,0
44221,196,3,114,1,0,1,43,1
44229,110,2,213,2,321,0,13,0
44288,170,3,86,1,246,1,11,1
44506,165,3,80,3,231,1,2,1
45393,150,26,38,1,225,1,11,1
45542,100,2,18,1,0,1,2,1
45556,65,2,206,2,0,0,13,0
45910,350,8,10,5,365,2,44,1
45936,99,4,122,2,233,1,45,0
45940,200,4,33,1,1,0,12,1
46544,150,5,52,1,18,0,16,1
46723,90,3,126,4,343,0,6,0
46911,120,3,51,3,250,0,29,0
47199,75,3,199,1,326,1,28,0
47362,175,26,30,1,364,0,6,1
47370,125,3,3,1,0,1,14,1
47926,275,1,41,1,299,1,7,1
48719,299,2,109,1,207,1,23,1
50447,135,5,151,3,162,0,10,1
51438,130,14,0,2,0,1,28,0
51485,83,1,285,1,7,1,23,0
51572,123,1,375,1,328,1,14,0
51850,55,2,52,2,365,2,46,0
53137,195,5,10,1,0,1,7,1
53196,80,2,11,1,0,0,6,0
53469,98,30,33,5,240,2,47,1
53470,140,7,6,5,365,2,44,0
53477,265,7,38,5,365,2,47,1
54158,249,2,358,2,164,0,12,1
54453,105,6,10,1,363,1,7,2
54466,200,30,0,1,365,1,2,0
54508,100,2,226,3,250,0,29,0
54544,121,1,104,5,247,1,2,1
54626,45,1,138,3,323,4,42,0
54860,100,5,204,1,192,1,4,0
55467,140,2,253,1,125,0,12,1
55498,71,2,23,1,91,0,6,0
55668,130,2,115,1,75,1,48,0
55737,199,5,129,1,286,1,11,1
55959,69,4,82,2,60,0,12,0
55982,68,3,37,1,0,0,13,0
56467,130,1,204,1,192,1,19,1
56525,195,2,69,1,58,0,20,1
56859,64,1,192,5,245,1,2,0
57166,140,2,17,1,292,2,49,1
57297,159,2,222,1,279,0,36,1
57468,189,3,205,1,0,1,19,1
57618,250,3,94,1,3,1,7,1
57740,239,3,7,1,351,1,19,1
57754,305,2,108,1,201,1,50,1
57874,155,3,222,2,232,1,2,1
58059,60,1,458,2,258,1,2,0
58062,135,2,21,1,272,0,17,0
58467,120,7,17,1,341,1,51,0
59014,150,3,41,1,244,1,23,1
59121,140,14,1,5,365,2,44,1
59642,135,2,69,1,12,0,20,1
59709,250,4,18,2,265,1,9,1
59855,250,30,82,1,0,1,1,1
60164,500,4,94,1,329,1,27,1
60457,225,5,10,1,91,1,52,1
60611,125,28,183,2,365,1,4,1
60666,92,1,189,5,253,1,2,0
60673,175,2,1,1,365,1,2,0
60680,99,2,127,1,320,1,19,1
60794,195,4,4,1,0,1,8,1
60948,140,3,135,3,192,1,4,1
61167,135,2,21,1,0,1,53,1
61224,500,2,35,1,348,1,14,1
61406,80,14,10,2,0,1,2,0
61492,120,4,171,2,353,1,9,0
61509,110,200,92,1,140,1,1,1
62095,65,3,238,1,2,0,54,1
62427,130,50,56,1,56,1,19,1
62430,99,3,111,1,68,0,21,1
62452,36,2,193,6,360,3,55,0
62461,37,2,147,6,0,3,55,0
62787,37,2,177,6,320,3,55,0
62891,175,3,185,2,326,1,19,1
62903,205,9,62,2,76,1,14,1
62925,285,3,124,3,279,0,20,1
63299,59,2,181,2,15,0,12,0
63320,36,2,333,6,340,3,55,0
63360,99,5,441,1,226,2,56,1
63546,39,1,45,2,365,0,0,0
63573,60,14,9,2,0,0,16,0
63588,90,2,0,7,349,4,57,0
63610,105,2,38,13,365,4,58,1
63657,135,2,248,2,11,0,6,1
63693,390,5,143,2,316,1,19,1
63719,70,3,36,4,281,0,6,0
63913,75,7,0,2,323,1,18,0
64000,60,17,14,4,362,0,12,0
64015,200,3,0,1,0,1,19,1
64107,100,3,279,1,301,0,15,0
64277,70,4,18,4,189,0,6,0
64314,110,6,50,1,0,0,15,0
64365,60,2,227,2,287,0,15,0
64707,90,14,1,1,14,1,53,1
64837,68,2,203,2,86,1,19,0
65019,115,2,210,1,261,1,8,1
65268,75,5,64,1,68,0,6,0
65556,60,3,0,1,0,0,12,0
65562,129,7,5,1,231,1,19,1
65615,130,10,49,1,152,0,12,1
65660,95,4,132,1,46,0,12,1
65813,75,3,20,1,364,1,2,0
65834,175,2,11,1,246,0,16,1
66008,190,3,51,1,288,0,33,1
66026,49,21,15,5,331,0,15,0
66251,212,3,67,1,51,1,19,1
66275,95,1,109,3,364,1,23,0
66451,140,2,9,1,254,0,12,1
66718,135,6,187,1,189,1,2,1
66741,150,2,214,2,263,0,16,1
66974,190,3,69,2,258,0,34,1
67288,124,28,22,1,103,1,4,1
67299,135,30,56,1,42,0,12,1
67397,122,3,93,1,246,1,45,0
68099,109,1,104,2,364,1,8,0
68305,85,30,64,1,318,1,2,0
68403,145,3,127,2,72,0,6,1
68735,195,11,30,1,249,1,8,1
68765,250,2,106,3,272,0,33,1
68900,125,3,6,1,325,0,20,0
68974,575,2,191,1,298,1,53,1
69894,150,30,48,1,35,1,8,1
69921,70,5,47,1,203,0,21,0
70095,90,2,120,1,132,1,18,0
70128,65,3,52,1,5,1,19,0
70609,500,2,48,4,297,1,19,1
71010,250,3,32,2,276,1,30,1
71248,125,25,43,1,102,1,9,1
71366,200,30,39,1,251,1,11,1
71384,229,1,50,1,188,0,20,1
71812,90,30,4,2,346,4,59,1
72190,110,13,38,1,0,1,8,1
72265,59,3,29,1,15,0,20,0
74073,195,4,59,1,71,0,12,1
74240,169,1,68,2,215,0,12,1
74333,113,14,26,3,253,1,4,1
74404,250,14,31,1,78,1,2,1
74680,115,2,198,1,257,2,56,1
74860,55,2,1,1,0,0,20,0
75193,69,2,220,2,8,0,12,0
75635,150,3,286,1,191,1,23,1
76761,169,2,398,3,182,0,10,1
77765,179,3,36,28,79,0,20,0
77936,150,3,36,1,49,1,7,0
78919,135,4,6,1,0,0,38,1
79067,350,6,14,1,156,0,3,1
79782,120,14,76,6,343,0,12,0
80493,71,2,182,1,200,1,19,0
80684,349,3,8,28,60,0,20,0
80700,349,3,7,28,60,0,20,0
80924,165,30,34,2,189,0,16,1
81739,249,3,2,28,60,0,20,0
82549,100,3,66,2,0,0,32,0
82550,200,3,80,2,106,0,32,1
82638,169,4,240,1,276,1,19,1
82928,185,3,46,1,248,0,6,1
83243,65,2,228,1,194,0,21,1
83446,130,35,5,1,135,0,13,1
83722,199,30,8,1,30,0,12,1
83847,225,2,33,1,0,1,19,1
84010,179,3,13,28,81,0,20,0
84059,150,5,5,1,0,0,15,1
84659,139,1,388,1,142,1,19,1
84905,95,3,223,2,60,1,60,0
85094,79,15,11,5,179,0,15,1
86215,150,2,151,2,52,1,23,1
89427,650,5,0,3,365,0,3,1
89621,90,3,218,4,324,0,6,1
93313,120,2,75,2,237,0,6,1
94035,80,1,42,2,365,2,56,0
94209,100,90,0,1,365,0,15,1
94477,175,2,370,1,204,0,6,1
94783,120,5,104,1,272,0,15,1
95747,140,7,13,1,0,0,12,1
95883,200,5,4,1,9,0,6,1
96471,165,4,11,3,365,0,3,0
98330,125,4,1,3,181,1,26,1
98663,130,30,19,1,189,1,14,1
99070,65,7,131,2,0,1,4,2
99085,123,30,15,1,189,0,13,1
100002,67,2,136,1,296,1,30,0
100184,50,1,43,1,88,2,61,0
100186,130,7,98,1,35,0,34,1
101053,100,3,31,1,0,0,12,0
102995,212,21,45,1,35,1,8,1
103161,190,3,124,1,359,0,12,1
103311,599,3,9,28,60,0,20,0
103806,249,5,166,2,365,1,19,1
105469,70,27,13,1,335,2,62,0
105510,100,30,15,5,282,0,15,1
106363,60,3,380,2,247,1,2,0
106647,135,2,86,1,102,0,6,1
107630,175,3,248,3,274,0,20,1
107895,120,5,49,1,201,1,8,1
110739,169,18,54,1,98,1,1,1
112100,165,7,3,1,157,0,15,1
112304,90,1,1,1,0,1,2,0
112359,225,2,56,1,312,1,28,1
112435,95,2,163,2,331,0,13,0
113265,55,2,247,2,275,0,15,0
113945,85,10,116,1,174,1,7,0
114123,199,14,27,2,223,0,10,1
114229,211,1,52,3,361,1,23,1
114969,145,6,39,1,0,1,1,1
115535,65,14,35,1,283,1,2,0
115678,99,1,320,1,220,1,2,1
115748,110,4,30,1,363,2,56,1
116940,80,3,225,4,315,0,15,1
117425,150,30,95,1,281,0,32,1
118061,110,4,70,1,283,0,6,1
118430,290,2,35,1,20,1,14,0
118680,87,2,0,1,0,1,19,0
120362,190,4,50,1,331,0,12,1
121687,200,2,29,1,36,0,12,1
121861,165,2,23,2,7,0,16,1
123784,110,2,142,2,301,1,2,1
125053,395,2,70,1,170,1,19,1
125163,99,2,38,2,307,0,6,0
125594,39,1,82,2,365,0,0,0
126443,189,2,403,3,201,1,19,1
126816,85,1,3,1,0,1,8,0
127387,260,30,3,1,316,0,34,1
128975,122,1,116,5,271,1,2,1
131154,165,2,175,1,139,0,20,1
132516,97,3,28,3,209,2,63,1
132570,170,4,24,1,0,1,11,1
132695,125,2,15,1,0,0,12,1
133025,130,4,105,1,193,1,5,0
134934,225,10,22,1,52,0,12,1
135393,50,2,263,2,136,0,54,0
135465,170,3,86,2,286,0,13,1
135706,132,4,10,1,0,1,14,1
136493,250,7,18,1,18,0,16,1
138216,141,5,8,1,9,0,20,1
139624,64,20,70,1,3,0,15,1
140133,249,3,150,1,277,0,12,1
140425,79,2,115,1,0,0,15,0
140973,185,2,69,1,233,1,19,1
141154,120,3,232,1,221,0,38,1
141335,495,1,35,1,355,0,16,1
141890,375,3,18,1,0,1,64,1
141984,175,3,68,1,277,1,64,1
142069,150,4,22,1,0,1,19,1
144087,259,8,17,1,343,1,2,1
144148,96,1,34,1,0,1,19,0
145064,145,7,8,1,0,0,12,1
145188,200,4,0,1,0,1,14,1
145994,95,5,2,1,0,1,8,1
146754,250,4,52,1,188,0,17,1
147586,295,2,74,2,264,1,2,1
148201,175,3,18,1,0,1,52,1
148259,451,2,72,1,331,0,12,1
148825,165,2,191,1,236,1,8,1
149287,250,4,0,1,0,1,28,1
149777,77,1,197,1,309,4,65,1
150804,250,4,19,1,0,1,23,1
151199,129,1,414,1,245,2,56,1
151478,98,2,8,4,0,0,12,0
152071,150,2,0,1,8,0,16,1
152078,95,7,25,1,359,1,19,0
152259,55,3,119,5,333,1,2,0
152263,300,2,203,3,258,1,2,1
152520,42,40,53,3,236,2,39,0
153405,125,2,104,1,22,0,20,1
153780,175,3,175,1,236,1,19,0
154934,75,3,38,3,365,1,2,0
155296,255,45,39,1,89,0,12,1
157673,72,31,88,1,164,0,6,1
158061,165,1,27,4,311,0,6,0
158176,165,5,117,1,23,0,12,1
158290,75,3,43,2,365,0,3,0
158913,130,5,4,1,0,0,20,1
158955,139,2,385,1,222,0,12,1
159749,88,1,64,3,238,0,6,0
159815,80,1,39,3,218,0,6,0
159913,150,2,37,1,0,1,14,0
160609,200,3,10,1,0,1,8,1
160994,200,2,103,1,235,1,19,1
161366,42,40,41,3,246,2,39,0
161394,90,6,3,1,0,0,12,0
161996,295,3,227,1,247,1,2,1
162493,450,5,37,1,15,0,12,1
162508,130,2,29,1,119,0,15,1
163627,89,3,205,3,0,0,12,0
163809,198,5,42,2,234,1,2,1
163814,99,2,280,3,257,1,19,1
163836,46,4,86,3,350,0,20,0
164989,140,2,54,1,221,1,27,0
165080,500,7,7,1,0,0,33,1
165461,75,5,57,2,201,1,45,0
165824,33,44,31,3,161,2,39,0
166006,250,31,188,1,259,1,8,1
166172,60,3,480,1,0,0,21,0
166541,75,2,34,1,222,1,30,0
166983,350,5,6,1,0,0,33,1
167013,205,9,3,2,76,1,14,1
167017,219,5,2,1,0,0,16,1
167222,60,1,20,6,258,0,16,0
167482,185,2,129,1,14,1,8,1
168084,190,3,147,1,27,1,19,1
168123,105,28,101,1,167,0,10,1
168546,250,2,11,2,68,1,4,1
168810,175,65,11,1,358,1,8,1
169002,65,2,41,2,59,1,2,0
169152,75,2,87,1,0,0,6,1
169306,37,4,117,1,232,4,66,0
169464,85,2,86,2,15,0,12,1
169483,106,7,0,2,0,0,67,1
170420,79,2,15,1,0,1,4,1
170761,85,2,35,2,161,0,13,0
171776,170,2,17,2,88,1,2,0
172700,115,3,3,2,337,1,23,0
172870,89,5,43,2,247,1,2,0
173072,49,3,168,1,248,1,2,2
173151,91,3,241,1,287,0,20,0
173742,400,2,105,1,304,1,68,1
174527,150,2,11,1,0,0,21,1
174966,2000,30,30,11,0,1,8,1
176135,97,3,31,1,193,0,15,1
176653,100,4,49,2,43,1,19,0
176962,179,4,23,1,25,0,12,1
177421,500,2,20,2,127,0,20,1
177495,429,10,18,1,0,1,14,1
177606,189,6,90,1,303,1,26,1
179670,120,2,99,1,345,1,23,0
179741,300,1,6,3,115,1,64,1
180507,107,30,21,8,200,2,56,1
180792,95,30,24,8,271,2,56,1
181972,199,2,111,1,12,1,2,1
182069,120,2,86,1,268,1,4,1
182095,199,15,66,2,89,1,11,1
182177,125,2,271,2,347,4,69,1
182649,70,2,227,1,37,0,12,0
185266,75,4,80,1,0,0,12,0
187488,100,30,5,1,359,1,11,0
187566,99,2,187,2,287,0,6,1
187986,250,1,2,1,0,1,14,1
188146,350,6,1,1,233,0,12,1
188661,170,3,67,1,129,0,29,1
188674,165,1,63,1,0,1,19,1
189135,99,1,89,1,353,1,7,0
189181,255,4,1,1,365,1,14,0
189732,169,3,177,1,297,0,70,1
189787,99,4,90,1,56,0,15,1
190267,169,7,39,1,44,1,28,1
190542,160,3,42,1,355,0,6,1
190968,215,3,33,1,156,0,29,1
190974,130,3,179,1,273,0,16,1
191075,110,3,81,2,274,1,19,0
193105,150,28,43,2,258,1,7,0
193333,65,30,52,1,276,0,12,0
193393,75,2,160,1,65,2,39,0
193853,149,6,23,2,0,1,14,1
194154,89,6,35,1,180,1,8,0
195123,50,1,225,1,343,1,30,0
195233,43,1,401,2,43,0,24,0
195240,42,1,72,2,96,0,24,0
195578,85,1,46,1,59,0,12,0
195971,139,3,83,1,255,0,6,1
195989,105,1,211,2,252,0,16,0
196010,265,5,15,1,0,0,16,1
197155,149,1,122,1,20,1,7,1
197753,68,2,295,2,188,1,2,0
197942,99,3,207,1,304,0,6,1
199195,75,3,50,2,38,1,2,0
199312,100,2,273,1,254,0,12,0
200645,90,1,0,1,0,1,28,2
200955,160,30,25,1,46,1,19,1
201992,190,4,105,1,328,0,16,1
202273,67,4,72,3,0,0,6,0
203901,190,1,8,1,0,1,28,1
204065,248,2,58,6,199,0,3,1
204833,100,6,8,1,249,0,12,0
204959,95,3,172,2,64,1,9,0
205043,150,1,330,1,111,1,71,0
205485,145,3,123,1,287,0,6,1
205735,41,2,55,1,286,0,21,0
205867,120,4,87,1,263,0,12,1
206071,50,3,258,2,276,4,72,0
206316,157,2,4,1,0,0,13,1
206772,195,14,31,1,263,0,12,1
206957,70,4,128,2,90,0,73,1
208148,185,3,14,1,0,0,12,1
208889,145,3,30,3,11,0,6,1
209310,50,28,258,1,287,2,39,0
211078,185,3,228,3,1,0,20,1
211974,250,1,60,1,0,1,19,1
212109,80,90,9,1,338,1,11,0
212178,230,2,179,1,44,1,71,1
212544,100,7,9,1,0,0,34,1
213272,40,1,1,1,5,0,21,0
213330,200,30,25,1,0,1,23,0
214917,80,2,2,1,158,3,74,0
215560,79,3,152,3,192,0,6,0
215784,95,30,24,8,358,2,25,1
215907,300,2,45,3,31,1,8,1
217580,100,30,7,1,241,0,75,1
218358,80,7,19,1,285,1,2,0
219066,110,1,24,1,183,0,76,1
219482,172,4,8,2,189,0,3,1
219793,199,1,29,2,162,1,23,1
219818,199,1,14,2,158,1,23,1
219922,100,1,33,1,84,1,2,0
220351,55,4,99,1,260,1,2,0
220563,75,3,59,3,0,0,6,0
220946,146,3,142,1,166,1,19,1
221043,250,2,0,1,0,1,48,0
221097,116,29,22,1,335,0,20,1
221618,150,3,82,2,90,1,77,0
222054,120,2,23,6,342,0,16,0
222304,199,4,32,1,28,1,14,1
223930,150,5,24,1,363,0,29,1
224004,69,1,59,2,86,1,2,0
224006,300,55,6,2,83,1,2,0
224510,230,4,18,1,0,0,38,1
225297,125,4,3,1,0,1,1,1
225306,79,3,115,3,264,0,6,0
225887,130,3,154,2,305,0,13,0
225926,239,1,164,11,356,0,3,0
225976,75,6,76,1,278,3,78,1
226021,220,3,116,2,135,0,12,1
227715,80,3,234,4,308,0,6,1
227735,288,2,120,1,229,1,19,1
228317,135,4,82,1,273,0,6,1
228496,225,3,13,1,83,1,11,1
228517,110,30,59,1,281,1,9,0
228925,100,7,63,1,321,0,6,1
228979,130,2,52,1,303,1,7,0
229367,89,1,278,3,192,1,19,0
229874,200,5,1,1,0,0,79,1
230321,80,2,35,1,36,0,6,1
230854,50,5,235,2,271,4,80,0
230877,135,28,115,2,341,1,4,1
230956,90,1,109,1,333,1,19,0
231414,270,5,1,1,210,1,27,0
232612,110,3,305,1,231,0,6,1
232618,145,1,102,1,308,1,4,1
233189,179,30,83,1,292,1,7,1
233638,55,1,19,1,311,2,44,0
233662,110,2,61,1,264,1,1,0
234184,325,5,89,1,153,1,2,1
234870,75,30,65,3,219,2,25,0
235552,300,1,40,1,0,0,10,1
235651,130,30,80,2,332,1,11,0
235951,190,30,136,1,120,1,1,1
235960,200,3,100,1,191,1,23,1
236671,180,2,125,3,248,0,12,1
236788,350,5,40,1,67,0,40,1
236806,160,4,0,1,0,1,19,1
237127,195,30,139,4,325,1,26,1
237210,241,30,0,1,249,1,52,1
239055,300,7,2,1,0,1,9,1
239733,75,28,49,1,313,2,49,1
239766,100,5,8,1,0,1,23,1
239826,399,1,0,1,12,1,68,1
239883,85,5,124,1,69,0,13,0
239899,80,21,5,1,0,0,24,1
240800,55,1,147,1,293,0,29,0
241140,438,1,43,11,363,0,3,0
241159,110,6,8,1,4,0,6,1
241862,200,2,37,1,257,1,11,1
242532,279,1,120,11,362,0,3,0
242643,137,1,24,1,0,0,12,1
243229,280,3,5,1,365,0,6,1
243708,199,30,242,1,102,0,12,1
245504,71,4,229,1,26,1,18,0
245544,42,2,108,2,302,4,59,0
245574,180,2,181,1,280,0,6,1
245607,226,5,34,1,302,1,14,1
246134,85,3,5,1,281,0,15,0
246351,135,1,5,1,0,1,68,1
246916,79,4,60,2,297,2,81,1
246938,154,1,238,1,246,1,23,1
248865,199,3,34,28,60,0,20,1
248871,700,3,131,4,296,1,11,1
249414,246,4,6,1,0,1,11,1
249618,125,60,4,1,364,1,30,0
249867,100,1,7,4,281,0,6,0
250259,295,5,125,1,0,0,12,1
250311,150,3,0,1,0,0,15,0
250323,119,1,49,1,0,1,9,1
250536,125,1,11,2,365,1,2,0
250537,400,5,0,2,365,1,2,1
250801,850,3,107,1,249,1,52,1
251262,129,2,241,1,303,0,12,0
251277,140,1,176,1,300,1,8,0
252076,115,4,151,2,323,1,9,0
252607,200,3,49,2,0,1,4,1
253332,96,120,13,1,204,0,79,1
253466,199,3,33,28,60,0,20,1
253471,199,3,24,28,84,0,20,1
253475,199,3,59,28,60,0,20,1
253548,69,1,2,1,303,0,82,0
253590,185,2,16,1,261,1,8,1
253623,81,2,72,1,0,1,2,0
253800,199,3,24,28,60,0,20,1
253803,199,3,23,28,60,0,20,1
253806,199,3,43,28,60,0,20,1
253811,199,3,30,28,56,0,20,1
253815,199,3,39,28,84,0,20,1
253828,349,3,8,28,58,0,20,0
253839,249,3,3,28,60,0,20,0
253842,299,3,6,28,60,0,20,0
253846,179,3,4,28,81,0,20,0
254131,54,5,56,3,365,2,83,0
254168,599,3,7,28,60,0,20,0
254409,110,1,2,1,0,0,3,1
255024,220,2,178,1,297,0,21,1
255476,89,30,30,1,91,0,12,0
255601,170,2,190,1,315,0,6,1
255957,495,7,25,2,338,1,64,1
256078,80,10,81,2,40,2,39,1
256328,760,2,7,1,361,1,14,1
256369,98,4,216,1,288,0,36,0
257097,125,30,31,1,218,0,6,1
257568,48,90,53,2,1,0,84,0
257787,64,3,247,2,117,0,12,0
258284,154,3,233,1,0,0,3,1
258397,139,3,135,1,204,0,16,1
258686,75,4,20,1,0,2,85,0
258688,325,4,46,1,20,1,11,1
258690,195,365,10,1,0,1,14,1
258740,58,1,143,1,0,1,2,0
258838,250,2,21,4,333,3,86,1
258876,50,7,0,4,189,3,86,0
259946,125,2,8,4,353,3,86,1
260451,70,7,4,2,0,0,13,1
260765,189,2,314,2,206,1,28,1
261194,130,3,18,1,1,0,6,1
261259,145,7,11,1,0,1,11,1
261344,101,7,51,1,307,1,43,0
261674,95,5,20,1,0,1,14,0
261781,375,7,8,1,0,1,11,1
262343,153,31,59,1,27,1,23,1
262405,92,4,54,1,27,0,54,1
262478,80,5,10,1,348,1,23,0
262583,300,4,153,4,246,1,11,1
263005,145,3,110,1,15,0,13,1
263190,88,2,69,2,0,1,19,0
263232,155,1,1,1,5,1,2,1
263502,185,180,24,1,0,0,12,1
263776,73,2,95,2,0,2,39,0
263888,225,2,129,1,107,1,8,1
264323,85,7,171,2,144,1,45,0
265036,99,2,20,1,98,0,15,0
265064,48,90,17,2,0,0,84,0
265145,200,5,8,1,0,1,71,1
265506,485,7,11,1,0,1,28,1
265831,310,5,5,1,89,1,64,1
265912,110,4,0,1,354,0,12,1
266146,109,30,36,5,286,1,8,1
