id,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,neighbourhood_group_n,neighbourhood_n,room_type_n
2539,149,1,9,6,365,0,0,0
2595,225,1,45,2,355,1,1,1
3647,150,3,0,1,365,1,2,0
3831,89,1,270,1,194,0,3,1
5022,80,10,9,1,0,1,4,1
5099,200,3,74,1,129,1,5,1
5121,60,45,49,1,0,0,6,0
5178,79,2,430,1,220,1,7,0
5203,79,2,118,1,0,1,8,0
5238,150,1,160,4,188,1,9,1
5295,135,5,53,1,6,1,8,1
5441,85,2,188,1,39,1,7,0
5803,89,4,167,3,314,0,10,0
6021,85,2,113,1,333,1,8,0
6090,120,90,27,1,0,1,11,1
6848,140,2,148,1,46,0,12,1
7097,215,2,198,1,321,0,13,1
7322,140,1,260,1,12,1,14,0
7726,99,3,53,1,21,0,15,1
7750,190,7,0,2,249,1,4,1
7801,299,3,9,1,0,0,12,1
8024,130,2,130,6,347,0,16,0
8025,80,1,39,6,364,0,16,0
8110,110,2,71,6,304,0,16,0
8490,120,2,88,2,233,0,6,1
8505,60,1,19,2,85,0,17,0
8700,80,4,0,1,0,1,18,0
9357,150,10,58,1,75,1,7,1
9518,44,3,108,3,311,1,18,0
9657,180,14,29,1,67,1,19,1
9668,50,3,242,3,355,1,2,0
9704,52,2,88,1,255,1,2,0
9782,55,4,197,3,284,0,20,0
9783,50,3,273,3,359,1,2,0
10452,70,1,74,2,269,0,6,0
10962,89,4,168,3,340,0,10,0
11452,35,60,0,1,365,0,6,0
11708,85,2,231,2,22,0,21,1
11943,150,1,0,1,365,0,22,0
12048,40,1,214,4,188,1,23,2
12192,68,2,245,2,96,1,19,0
12299,120,3,15,1,345,0,10,1
12303,120,7,25,1,311,0,13,0
12318,135,4,81,1,273,1,8,0
12343,150,7,97,1,309,1,2,1
12627,150,29,11,1,95,0,24,1
12937,130,3,248,1,215,2,25,0
12940,110,7,61,1,265,0,6,1
13050,115,3,11,1,0,0,6,1
13394,80,3,135,2,192,0,13,0
13808,80,1,112,3,251,0,6,0
14287,151,2,73,1,302,1,8,1
14290,228,3,82,1,140,0,12,1
14314,144,2,328,1,234,0,20,1
14322,200,7,19,1,257,1,26,1
14377,150,30,105,1,30,0,12,1
14991,110,5,19,1,301,1,23,0
15220,69,2,289,2,294,1,7,0
15338,49,4,138,3,320,0,20,0
15341,180,30,21,1,154,1,27,1
15385,80,2,42,1,263,0,12,0
15396,375,180,5,1,180,1,14,1
15711,250,2,66,2,231,1,28,1
16326,200,30,143,2,297,0,29,1
16338,55,7,27,2,292,0,3,0
16421,52,30,191,1,191,1,7,0
16458,225,3,4,1,0,0,16,1
16580,80,1,338,2,72,1,19,0
16595,275,1,148,1,362,0,12,1
16821,99,1,106,2,336,1,19,0
16974,225,4,190,1,215,1,4,1
17037,230,9,49,1,116,1,19,1
17092,51,7,23,1,88,1,7,0
17693,65,2,49,2,336,1,30,0
17747,105,2,105,1,304,0,3,0
18127,190,5,21,1,224,1,19,1
18152,200,1,142,1,322,1,28,0
18198,70,30,25,1,324,2,31,0
18590,95,3,143,1,132,0,13,0
18728,150,3,167,1,295,1,14,0
18764,145,3,61,4,238,0,12,0
19159,110,31,54,1,209,1,2,1
19169,285,5,70,1,328,1,23,1
19282,130,6,16,1,38,0,22,1
19319,94,30,94,1,188,1,23,0
19601,800,1,25,1,7,0,32,1
19812,105,3,61,1,272,0,12,1
20299,60,3,194,1,26,1,19,0
20300,50,1,2,1,0,1,19,0
20611,85,3,174,4,288,0,12,0
20724,65,4,24,1,317,0,21,0
20734,131,4,166,1,207,0,29,1
20755,98,7,16,6,185,0,3,0
20853,250,7,21,1,158,0,29,1
20913,100,5,168,1,0,0,12,1
21293,105,3,118,2,9,0,21,1
21456,140,3,81,1,198,1,8,1
21644,89,1,1,1,365,1,2,0
21794,98,30,30,2,364,1,14,0
22911,125,7,139,2,311,0,6,1
22918,60,3,11,3,219,1,2,0
23135,175,2,233,3,342,0,33,1
23501,65,2,68,1,312,1,30,0
